TeamShotOrder,TaskLabel,n,pct
1,Draw,430,0.7190635451505016
1,Guard,68,0.11371237458193979
1,Wick/Soft peel,49,0.08193979933110368
1,Raise/Tap-back,42,0.07023411371237458
1,Front,3,0.005016722408026756
1,Clearing,2,0.0033444816053511705
1,Take-out,2,0.0033444816053511705
1,Freeze,1,0.0016722408026755853
1,Through,1,0.0016722408026755853
2,Draw,232,0.3879598662207358
2,Take-out,93,0.15551839464882944
2,Clearing,73,0.12207357859531773
2,Raise/Tap-back,67,0.11204013377926421
2,Hit & Roll,50,0.08361204013377926
2,Double Take-out,40,0.06688963210702341
2,Guard,15,0.02508361204013378
2,Wick/Soft peel,13,0.021739130434782608
2,Promotion Take-out,12,0.020066889632107024
2,Freeze,3,0.005016722408026756
3,Draw,213,0.35618729096989965
3,Take-out,109,0.18227424749163879
3,Double Take-out,73,0.12207357859531773
3,Clearing,55,0.09197324414715718
3,Hit & Roll,54,0.0903010033444816
3,Raise/Tap-back,52,0.08695652173913043
3,Promotion Take-out,27,0.0451505016722408
3,Guard,10,0.016722408026755852
3,Wick/Soft peel,4,0.006688963210702341
3,Freeze,1,0.0016722408026755853
